MESSNUMMER,DATEINAME,AUFNAHMEJAHR,AUFNAHMEMONAT,AUFNAHMETAG,AUFNAHMESTUNDE,AUFNAHMEMINUTE,AUFNAMESEKUNDE,VERSCHIEBUNG (ALT),VERSCHIEBUNG (AZ),GESAMTSONNENLEISTUNG,MATRIXX,MATRIXY
0000,xxx,2024,01,31,12,12,39,0,0,520.490
0001,xxx,2024,01,31,12,15,5,0,-5,151.057
0002,xxx,2024,01,31,12,16,00,0,-10,89.340
0003,xxx,2024,01,31,12,16,55,0,5,143.579
0004,xxx,2024,01,31,12,18,00,0,10,87.169
0005,xxx,2024,01,31,12,19,15,5,10,95.424
0006,xxx,2024,01,31,12,20,00,5,5,86.843
0007,xxx,2024,01,31,12,20,50,5,0,89.181
0008,xxx,2024,01,31,12,22,30,5,-5,81.705
0009,xxx,2024,01,31,12,23,25,5,-10,83.167
0010,xxx,2024,01,31,12,25,10,10,10,79.875
0011,xxx,2024,01,31,12,25,50,10,5,80.978
0012,xxx,2024,01,31,12,27,10,10,0,94.184
0013,xxx,2024,01,31,12,27,45,10,-5,92.468
0014,xxx,2024,01,31,12,28,30,10,-10,90.813
0015,xxx,2024,01,31,12,29,55,7.5,-7.5,91.279
0016,xxx,2024,01,31,12,30,50,7.5,-2.5,97.933
0017,xxx,2024,01,31,12,31,25,7.5,2.5,104.699
0018,xxx,2024,01,31,12,32,00,7.5,7.5,99.957
0019,xxx,2024,01,31,12,33,00,2.5,7.5,100.917
0020,xxx,2024,01,31,12,33,45,2.5,2.5,182.594
0021,xxx,2024,01,31,12,34,35,2.5,-2.5,214.748
0022,xxx,2024,01,31,12,35,20,2.5,-7.5,94.736
0023,xxx,2024,01,31,12,36,30,-2.5,-7.5,98.328
0024,xxx,2024,01,31,12,37,40,-2.5,-2.5,401.068
0025,xxx,2024,01,31,12,38,45,-2.5,2.5,457.325
0026,xxx,2024,01,31,12,39,25,-2.5,7.5,109.25
0027,xxx,2024,01,31,12,42,30,0,16,97.637
0028,xxx,2024,01,31,12,43,20,0,14,97.502
0029,xxx,2024,01,31,12,43,50,0,12,103.74
0030,xxx,2024,01,31,12,44,30,0,10,105.128
0031,xxx,2024,01,31,12,45,10,0,8,100.333
0032,xxx,2024,01,31,12,45,50,0,6,114.782
0033,xxx,2024,01,31,12,46,30,0,4,229.954
0034,xxx,2024,01,31,12,47,10,0,2,453.069
0035,xxx,2024,01,31,12,47,45,0,0,576.182
0036,xxx,2024,01,31,12,48,30,0,-2,469.977
0037,xxx,2024,01,31,12,49,05,0,-4,253.012
0038,xxx,2024,01,31,12,49,35,0,-6,124.290
0039,xxx,2024,01,31,12,50,15,0,-8,97.912
0040,xxx,2024,01,31,12,50,41,0,10,
